value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex
18340365113400000000000,0x07e5546c6e48002e5d0e29a5deaaf1d2751ef41dd190969ace11c77fa08bc4b2,3666304,2526560,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,371231,0x0000000000000000000000000000000000000000,407662,,324378,0x7b1b8a51352c6eb07be76847178a90a0068fb4fa1f379d7f6912d9f9c67a7f76,0xf2e16b3c00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000f0a132b4b8b3,1,299,2024-05-22 04:29:31,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
3013698600000000000,0x4db58dae0ef3952b586a2d3fd6d91a8fa57f165ef3d3aba69f2c9832b2016daf,3648047,2544817,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x1088400b4a224f21607a0098c077d11f98a65ef81a138a83388f5edd32296968,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000003,1,61,2024-05-21 18:20:57,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
31141552200000000000,0xd0ebd6432c52df15f002abc138af1d70b2b60226f254d9003a0339dee5a3f44b,3648044,2544820,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x2afdd61cf4bc89d4304a92e2e18a4933667352ec15b63f5916fb2a7d41024431,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000006,1,60,2024-05-21 18:20:51,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
11050228200000000000,0xc2a6c6f6b7553127db06ecd730661dd946db58e1fdeb730b6db31a5f153fbad2,3648013,2544851,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x1bdd3d57f1ceb58d9620747666a90e92af73842730430f663fccf6d1823f827c,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000003,1,59,2024-05-21 18:19:49,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
11050228200000000000,0xc76cfc42af5dc665d125ae29ccc4ed7fa8a0e07c74ccb95621e60485ec077ddb,3648002,2544862,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x5e1c5a7ea2db898de065a16d0e8aa28c85153c58a097720acc2cb093d63e2e83,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000005,1,58,2024-05-21 18:19:27,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
7031963400000000000,0x46b041516d4324ca6c0ee7cbdfef87c7257759aa24a2b709f5df3e96af849ae8,3647991,2544873,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x4392a78f670dcf89615a3f3128bd6759d47833065a8f0235652cd767cd7f2b56,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000004,1,57,2024-05-21 18:19:05,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
9842739627600000000000,0x89270971b942aff566497b4b5650f12946c13b578e26a14c976d61d61beb5b32,3647984,2544880,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x0000000000000000000000000000000000000000,272238,,224646,0xb123867cee58fa4c37392f67538ff9fe2d1262bb08f0a574c41f0ed8dde30777,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000003,1,56,2024-05-21 18:18:51,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
203926938600000000000,0x97fc962122145302aa67cf16717a19935990815a7783de059d29d3a1706e4b0d,3638186,2554678,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,302677,0x0000000000000000000000000000000000000000,317974,,255824,0xd067b480626351d38ce9e06731ecdc89b2017b51872b54a237cc34b4c3a7ee55,0x1c75e36900000000000000000000000028330c0a2204e5c78e94f643248b7a75c4ab00bb00000000000000000000000000000000000000000000202e2e1840f52ababe0000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000040000000000000000000000000abdc5347995a885a7dfc39efd3525b9fb6f7b1a70000000000000000000000000000000000000000000000000000000000000006,4,59,2024-05-21 12:52:15,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
389771685600000000000,0x84b360ffdc5ff7be8932e18dc2126387849c59d784c7cc7d366c8a67c51205cb,3637983,2554881,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,318043,0x0000000000000000000000000000000000000000,348228,,271190,0x216616693cfac2e6028ca55f9b3494f8cc93f84325b8cfddeac2f8ebccce2c34,0x549230c900000000000000000000000028330c0a2204e5c78e94f643248b7a75c4ab00bb00000000000000000000000000000000000000000000205793f45b0346b6090000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000040000000000000000000000000c3ff47bcd686f1dbddd3e813d575863c9c97c5020000000000000000000000000000000000000000000000000000000000000005,6,57,2024-05-21 12:45:29,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
19086757800000000000,0xb6a80b9b6421ea5b1ce578b00b0e8ecef15cd2aff760be36fe8374d3598e6439,3637595,2555269,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,318033,0x0000000000000000000000000000000000000000,348216,,271180,0xc2785a7f6cbd03c4a11b76f84ee13ccafc53dc9af98188a52cb8b426d913fadf,0x549230c900000000000000000000000028330c0a2204e5c78e94f643248b7a75c4ab00bb00000000000000000000000000000000000000000000024b5dd4b5b5ad6c000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000040000000000000000000000000ac0b5309444d6ba38e9aa2b9d04ca59301107eed0000000000000000000000000000000000000000000000000000000000000007,6,17,2024-05-21 12:32:33,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
